EmployeeID,JoiningYear,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,LeavingYear,Reason,RelievingStatus,office_code,JobLevel_updated,Tenure,EmploymentStatus
100000,2005,57,Travel_Rarely,164,Corporate Functions,22,Doctorate,217,3,Male,91,3,3,Married,10492,3411,0,Yes,12,4,3,0,39,2,2,14,4,5,3,Yes,2019.0,long hours,Voluntary,BOS,L7,14.0,Left
100001,2006,52,Travel_Rarely,265,Corporate Functions,19,Doctorate,519,3,Male,76,3,2,Married,11529,3105,0,Yes,12,3,3,0,33,2,2,12,4,5,3,Yes,2018.0,medical issues,Voluntary,NYC,L6,12.0,Left
100002,2006,53,Travel_Rarely,607,Corporate Functions,2,Doctorate,1572,3,Female,78,2,4,Married,10169,14618,0,No,16,4,2,1,34,4,3,12,3,1,4,Yes,2018.0,retiring,Voluntary,OTT,L6,12.0,Left
100003,2006,54,Travel_Rarely,215,Corporate Functions,19,Diploma,309,3,Male,86,2,4,Married,10314,3834,1,Yes,11,3,3,1,35,3,2,13,4,5,3,Yes,2019.0,career change,Voluntary,NYC,L7,13.0,Left
100004,2007,57,Travel_Rarely,285,Marketing,2,Diploma,828,3,Male,31,2,2,Married,19255,25762,6,Yes,12,4,4,0,39,2,3,11,5,5,3,Yes,2018.0,retiring,Voluntary,CAL,L5,11.0,Left
100005,2007,57,Travel_Rarely,224,Corporate Functions,21,Masters,223,3,Male,93,2,3,Married,10322,3392,1,Yes,12,3,4,1,38,2,2,14,4,5,3,Yes,2021.0,retiring,Voluntary,CAL,L7,14.0,Left
100006,2007,50,Travel_Rarely,528,Corporate Functions,2,Diploma,1485,2,Female,79,2,4,Married,10557,14410,1,No,15,3,2,1,31,4,3,11,3,1,3,Yes,2018.0,retiring,Voluntary,OTT,L6,11.0,Left
100007,2007,52,Travel_Rarely,590,Corporate Functions,2,Diploma,1563,2,Male,76,2,4,Divorced,10163,14718,0,No,15,4,1,1,33,3,3,11,3,1,3,Yes,2018.0,return to school,Voluntary,PHL,L6,11.0,Left
100008,2007,58,Travel_Rarely,147,Delivery,23,Diploma,165,4,Female,94,3,4,Married,10312,3465,1,No,12,2,4,1,40,3,2,15,4,6,3,Yes,2022.0,Misconduct,Involuntary,BOS,L3,15.0,Left
100009,2007,57,Travel_Rarely,305,Marketing,2,Masters,823,4,Male,33,3,1,Married,19272,25562,6,No,12,3,4,0,39,2,3,11,5,5,3,Yes,2018.0,long hours,Voluntary,NYC,L5,11.0,Left
100010,2007,51,Travel_Rarely,617,Corporate Functions,3,Doctorate,1337,3,Male,75,2,4,Divorced,10080,14453,0,No,16,4,2,0,29,3,3,11,3,1,3,Yes,2018.0,retiring,Voluntary,NYC,L6,11.0,Left
100011,2008,55,Travel_Rarely,410,Corporate Functions,18,Masters,364,3,Male,93,2,3,Married,10348,3221,2,Yes,12,4,4,1,36,2,2,13,4,5,3,Yes,2021.0,offered more money,Voluntary,BOS,L7,13.0,Left
100012,2008,51,Travel_Rarely,753,Corporate Functions,6,Doctorate,1341,3,Male,60,1,2,Married,15590,24835,7,No,11,4,3,0,31,2,1,10,4,5,4,Yes,2018.0,career change,Voluntary,MKM,L6,10.0,Left
100013,2008,51,Travel_Rarely,708,Corporate Functions,12,Bachelors,590,3,Male,92,2,2,Married,10389,2944,4,Yes,12,3,4,1,32,2,2,11,3,4,3,Yes,2019.0,long hours,Voluntary,NYC,L6,11.0,Left
100014,2008,52,Travel_Rarely,264,Product,18,Bachelors,442,3,Male,88,2,3,Married,10193,3834,1,No,11,4,4,1,34,3,2,12,4,5,3,Yes,2020.0,retiring,Voluntary,PHL,L2,12.0,Left
100015,2008,51,Travel_Rarely,418,Corporate Functions,3,Diploma,1163,1,Male,61,1,3,Married,18567,25535,2,Yes,14,5,3,0,31,3,2,11,5,3,4,Yes,2019.0,unhappy,Voluntary,PHL,L6,11.0,Left
100016,2008,51,Travel_Rarely,262,Corporate Functions,16,Doctorate,405,3,Male,81,2,4,Married,10315,4081,1,No,11,3,3,1,32,3,2,12,4,4,3,Yes,2020.0,retiring,Voluntary,VAN,L6,12.0,Left
100017,2008,57,Travel_Rarely,292,Corporate Functions,23,Diploma,421,3,Male,90,3,3,Married,10331,3802,1,Yes,12,5,3,0,36,2,2,12,3,5,2,Yes,2020.0,long hours,Voluntary,PHL,L6,12.0,Left
100018,2009,55,Travel_Rarely,685,Corporate Functions,26,Diploma,1578,3,Male,60,2,4,Married,19586,23037,1,No,21,4,3,1,36,3,3,13,3,1,5,No,Still Employed,Still Active,Employment Ongoing,VAN,L7,16.0,Still Employed
100019,2009,53,Travel_Rarely,230,Sales,18,Doctorate,339,3,Male,84,2,4,Married,10314,3912,1,No,11,5,3,1,34,3,2,12,4,5,3,Yes,2021.0,retiring,Voluntary,TOR,L3,12.0,Left
100020,2009,58,Travel_Rarely,682,Corporate Functions,10,Masters,131,4,Male,37,3,3,Single,13872,24409,0,No,13,3,3,0,38,1,2,13,4,1,3,No,Still Employed,Still Active,Employment Ongoing,CAL,L7,16.0,Still Employed
100021,2009,44,Travel_Rarely,429,Corporate Functions,13,Diploma,1012,3,Male,51,3,1,Married,13225,2604,0,No,12,5,2,0,24,2,2,9,4,5,5,Yes,2018.0,reallocation out of the area,Voluntary,MKM,L6,9.0,Left
100022,2009,50,Travel_Rarely,632,Corporate Functions,4,Doctorate,966,3,Female,72,2,4,Married,9939,14192,0,No,16,5,2,0,23,3,3,9,3,1,3,Yes,2018.0,unhappy,Voluntary,NYC,L6,9.0,Left
100023,2009,54,Travel_Rarely,685,Corporate Functions,25,Masters,1556,2,Female,60,2,3,Married,19577,23034,1,No,20,3,3,0,35,2,2,13,2,1,5,No,Still Employed,Still Active,Employment Ongoing,BOS,L7,16.0,Still Employed
100024,2009,56,Travel_Rarely,618,Sales,12,Masters,386,3,Female,46,2,3,Single,13969,24416,0,No,13,3,3,0,36,1,2,13,4,2,3,No,Still Employed,Still Active,Employment Ongoing,VAN,L4,16.0,Still Employed
100025,2009,58,Travel_Rarely,286,Corporate Functions,2,Doctorate,825,4,Male,31,3,2,Single,19246,25761,7,Yes,12,4,4,0,40,2,3,11,6,5,3,Yes,2020.0,retiring,Voluntary,TOR,L6,11.0,Left
100026,2009,54,Travel_Rarely,689,Corporate Functions,25,Masters,1542,3,Female,60,2,4,Divorced,19584,23067,1,No,20,3,3,1,35,3,2,13,2,1,5,No,Still Employed,Still Active,Employment Ongoing,TOR,L7,16.0,Still Employed
100027,2009,54,Travel_Rarely,450,HR,1,Bachelors,378,4,Male,81,3,1,Divorced,19049,18939,0,No,14,3,2,0,36,2,2,13,4,2,5,No,Still Employed,Still Active,Employment Ongoing,VAN,L5,16.0,Still Employed
100028,2009,53,Travel_Rarely,271,Corporate Functions,2,Diploma,983,1,Male,50,1,3,Married,19691,25824,2,Yes,14,5,4,0,34,2,3,11,5,3,3,Yes,2020.0,offered more money,Voluntary,VAN,L6,11.0,Left
100029,2009,50,Travel_Rarely,586,Corporate Functions,4,Masters,1300,1,Male,66,1,3,Married,17171,25195,3,Yes,13,3,3,0,29,3,2,10,4,4,4,Yes,2019.0,unhappy,Voluntary,TOR,L6,10.0,Left
100030,2009,55,Travel_Rarely,452,Delivery,1,Doctorate,374,4,Male,81,3,1,Single,19045,18938,0,Yes,14,3,3,0,37,2,3,13,4,2,5,No,Still Employed,Still Active,Employment Ongoing,CAL,L5,16.0,Still Employed
100031,2009,47,Travel_Frequently,1093,Corporate Functions,9,Diploma,1716,3,Male,82,1,3,Married,12936,24164,7,No,11,5,3,0,25,3,1,9,2,5,4,Yes,2018.0,long hours,Voluntary,NYC,L6,9.0,Left
100032,2010,46,Travel_Rarely,1120,Corporate Functions,5,Doctorate,904,2,Male,91,2,1,Married,10446,2562,7,Yes,13,5,4,1,27,1,2,9,3,2,3,Yes,2019.0,return to school,Voluntary,CAL,L6,9.0,Left
100033,2010,54,Travel_Rarely,523,Sales,15,Diploma,770,3,Female,60,2,3,Single,14116,24427,0,No,13,3,3,0,35,1,2,12,3,3,3,No,Still Employed,Still Active,Employment Ongoing,VAN,L4,15.0,Still Employed
100034,2010,57,Travel_Rarely,730,Corporate Functions,9,Diploma,130,3,Female,39,3,3,Single,13842,24372,0,No,12,3,2,0,36,1,1,12,4,1,3,No,Still Employed,Still Active,Employment Ongoing,MKM,L6,15.0,Still Employed
100035,2010,42,Travel_Rarely,779,Marketing,8,Doctorate,1144,2,Male,59,2,1,Married,12666,2406,2,Yes,12,5,2,0,22,1,2,8,3,4,4,Yes,2018.0,unhappy,Voluntary,VAN,L3,8.0,Left
100036,2010,49,Travel_Rarely,906,Corporate Functions,9,Doctorate,741,2,Male,92,2,2,Married,10417,2761,5,Yes,13,4,4,1,30,1,2,10,3,3,3,Yes,2020.0,long hours,Voluntary,BOS,L6,10.0,Left
100037,2010,51,Travel_Rarely,770,Corporate Functions,5,Masters,1352,3,Male,84,3,2,Divorced,14026,17588,1,Yes,11,3,2,1,33,2,3,12,4,1,4,No,Still Employed,Still Active,Employment Ongoing,TOR,L6,15.0,Still Employed
100038,2010,42,Travel_Rarely,618,Corporate Functions,10,Diploma,1156,2,Male,51,2,1,Married,13252,2428,1,Yes,12,5,2,0,22,1,2,8,3,4,5,Yes,2018.0,medical issues,Voluntary,NYC,L3,8.0,Left
100039,2010,44,Travel_Rarely,1379,Sales,1,Masters,1105,1,Male,91,1,1,Single,10832,2333,8,Yes,14,5,3,0,24,1,3,8,3,1,3,Yes,2018.0,reallocation out of the area,Voluntary,NYC,L3,8.0,Left
100040,2010,50,Travel_Frequently,333,Corporate Functions,22,Doctorate,1539,3,Male,88,1,4,Single,14411,24450,1,Yes,13,3,4,0,32,2,3,12,3,5,4,No,Still Employed,Still Active,Employment Ongoing,BOS,L6,15.0,Still Employed
100041,2010,52,Non-Travel,771,Corporate Functions,2,Doctorate,329,1,Male,79,2,3,Single,19068,21030,1,Yes,18,3,4,0,33,2,4,12,3,6,5,No,Still Employed,Still Active,Employment Ongoing,MKM,L6,15.0,Still Employed
100042,2010,50,Non-Travel,762,Corporate Functions,2,Masters,338,1,Male,76,2,3,Married,19084,21039,1,No,17,3,3,0,32,2,3,12,3,5,4,No,Still Employed,Still Active,Employment Ongoing,PHL,L6,15.0,Still Employed
100043,2010,52,Travel_Rarely,621,Delivery,3,Masters,776,3,Male,31,2,1,Married,16856,10084,1,No,11,3,1,0,34,3,4,12,3,1,6,No,Still Employed,Still Active,Employment Ongoing,MKM,L4,15.0,Still Employed
100044,2010,50,Travel_Frequently,1246,Corporate Functions,3,Diploma,644,1,Male,99,3,2,Married,18200,7999,1,No,11,3,3,1,32,2,3,12,2,4,3,No,Still Employed,Still Active,Employment Ongoing,MKM,L6,15.0,Still Employed
100045,2010,50,Travel_Rarely,783,Corporate Functions,4,Bachelors,1331,3,Male,82,2,1,Single,14066,17600,1,Yes,11,3,1,1,32,2,2,12,3,1,4,No,Still Employed,Still Active,Employment Ongoing,BOS,L6,15.0,Still Employed
100046,2010,49,Travel_Rarely,302,Corporate Functions,14,Doctorate,489,3,Male,76,2,4,Married,10317,4295,1,Yes,11,5,2,1,30,4,2,11,3,4,3,Yes,2021.0,career change,Voluntary,CAL,L6,11.0,Left
100047,2010,53,Travel_Rarely,270,Corporate Functions,2,Diploma,992,1,Male,51,1,3,Married,19717,25827,2,Yes,14,3,4,0,34,2,3,11,5,3,3,Yes,2021.0,reallocation out of the area,Voluntary,NYC,L6,11.0,Left
100048,2010,54,Travel_Rarely,542,Corporate Functions,1,Masters,470,4,Male,77,3,1,Divorced,18993,18903,0,No,14,3,2,0,35,2,3,12,4,2,5,No,Still Employed,Still Active,Employment Ongoing,CAL,L6,15.0,Still Employed
100049,2010,51,Travel_Rarely,756,Marketing,6,Diploma,1345,3,Male,60,1,2,Married,15563,24828,7,No,11,4,3,0,31,2,1,10,4,5,4,Yes,2020.0,unhappy,Voluntary,NYC,L4,10.0,Left
100050,2010,45,Travel_Rarely,1383,Corporate Functions,2,Diploma,1282,1,Male,93,1,2,Single,18541,2866,2,Yes,16,4,1,0,25,2,2,9,4,1,4,Yes,2019.0,unhappy,Voluntary,CAL,L6,9.0,Left
100051,2010,54,Travel_Rarely,419,Corporate Functions,2,Bachelors,512,4,Male,81,3,1,Divorced,19167,18977,0,No,15,3,2,0,36,2,2,12,4,2,5,No,Still Employed,Still Active,Employment Ongoing,CAL,L6,15.0,Still Employed
100052,2010,40,Travel_Rarely,1095,Delivery,9,Masters,302,1,Male,56,3,3,Married,17860,15655,2,Yes,11,4,4,0,22,0,3,8,5,5,3,Yes,2018.0,career change,Voluntary,BOS,L4,8.0,Left
100053,2010,52,Travel_Rarely,662,Corporate Functions,3,Bachelors,765,3,Female,30,2,1,Married,16841,10094,1,No,11,3,1,0,33,2,3,12,2,1,6,No,Still Employed,Still Active,Employment Ongoing,VAN,L6,15.0,Still Employed
100054,2010,55,Non-Travel,177,Sales,8,Masters,1278,4,Male,37,2,2,Divorced,13577,25592,1,Yes,15,3,4,1,34,3,3,12,4,6,1,No,Still Employed,Still Active,Employment Ongoing,BOS,L4,15.0,Still Employed
100055,2010,52,Travel_Rarely,699,Marketing,1,Masters,259,3,Male,65,2,3,Married,19999,5678,0,No,14,3,1,1,34,5,3,12,7,4,4,No,Still Employed,Still Active,Employment Ongoing,OTT,L5,15.0,Still Employed
100056,2010,51,Travel_Rarely,273,Corporate Functions,18,Diploma,543,3,Male,75,3,2,Married,11613,3080,0,No,12,3,3,0,33,2,2,12,4,5,4,Yes,2022.0,medical issues,Voluntary,CAL,L6,12.0,Left
100057,2010,43,Travel_Rarely,963,HR,6,Doctorate,1129,2,Male,69,2,1,Married,11993,2381,4,Yes,13,5,3,0,23,1,2,8,3,3,4,Yes,2018.0,unhappy,Voluntary,VAN,L3,8.0,Left
100058,2010,50,Travel_Rarely,786,Corporate Functions,11,Bachelors,650,2,Male,92,2,2,Married,10400,2872,5,Yes,13,3,4,1,31,1,2,11,3,3,3,Yes,2021.0,offered more money,Voluntary,PHL,L6,11.0,Left
